age,weight_kg,height_cm,vaccinated,is_male,health_score,exercise_hours,feeding_frequency,grooming_needs
4,18.47,46,True,True,4.66,2.18,four times,8
8,38.84,45,True,False,9.5,4.88,twice,9
5,32.24,69,True,False,5.01,3.42,four times,8
5,26.21,80,True,True,5.16,4.85,four times,2
9,32.38,70,False,False,3.19,2.49,twice,10
6,34.59,25,False,True,0.67,1.62,four times,1
9,28.71,94,False,True,4.38,4.83,twice,10
6,38.67,72,True,True,2.33,4.48,twice,2
5,37.42,98,False,True,4.58,3.47,thrice,2
9,13.81,89,True,False,6.34,2.96,four times,1
4,7.22,42,True,True,0.81,0.69,twice,3
3,6.01,33,True,False,6.39,2.15,twice,5
3,37.4,65,True,True,6.55,0.07,twice,6
3,39.89,49,True,True,0.36,2.81,twice,7
4,28.37,57,False,False,5.57,3.12,twice,10
8,37.56,85,True,False,1.03,0.3,thrice,10
8,10.9,63,False,True,0.81,2.85,four times,9
9,14.96,60,True,True,2.47,4.84,thrice,1
6,6.61,50,True,False,9.62,4.55,thrice,4
3,18.5,45,True,False,3.33,2.1,four times,8
10,13.95,98,True,False,6.54,3.75,twice,8
5,7.82,35,False,True,7.89,3.66,thrice,10
10,38.55,29,True,True,2.93,0.57,four times,10
10,36.01,98,False,False,9.99,0.95,twice,7
2,34.09,57,False,True,1.14,1.9,four times,9
6,17.69,44,False,True,1.3,1.7,thrice,6
5,25.59,23,False,False,3.42,0.38,twice,8
5,20.4,27,False,True,8.0,3.82,four times,10
2,12.99,42,True,True,5.28,3.6,four times,4
3,32.0,24,False,False,6.03,3.72,four times,2
3,18.65,40,True,True,1.57,0.35,twice,10
4,27.06,100,True,False,0.41,1.49,four times,5
9,23.55,93,False,True,3.78,1.36,twice,2
6,27.62,70,False,False,4.43,4.38,four times,10
1,15.87,24,True,True,0.01,3.81,four times,3
5,32.97,97,True,True,1.44,0.01,twice,4
1,5.99,78,False,True,1.63,2.89,four times,3
6,18.84,80,False,True,2.28,2.63,thrice,3
6,39.8,56,False,False,9.78,1.42,thrice,9
4,29.58,24,True,False,1.2,1.45,thrice,4
4,39.62,75,True,False,2.34,2.08,twice,1
3,24.78,36,True,True,1.53,2.77,twice,8
8,13.65,24,True,False,8.5,2.74,twice,7
2,38.09,78,False,False,2.36,1.25,thrice,9
6,6.66,47,False,False,6.12,1.81,thrice,7
1,23.09,63,False,False,2.3,2.93,thrice,2
2,13.97,55,True,False,8.0,2.32,twice,5
2,14.18,78,False,False,6.66,2.93,twice,5
9,15.23,46,False,False,6.66,4.81,four times,9
8,37.39,58,False,True,7.84,2.92,thrice,1
3,24.03,54,False,False,6.04,4.03,four times,10
8,27.81,93,True,False,3.63,3.31,thrice,1
7,31.94,29,True,False,0.87,2.51,twice,10
9,38.52,88,True,True,0.73,4.56,thrice,1
2,13.03,75,False,True,7.23,4.74,twice,4
6,39.66,78,False,False,1.91,0.17,thrice,4
5,37.31,23,False,True,6.62,2.5,twice,7
5,35.0,30,False,True,8.76,2.05,four times,9
5,8.1,75,True,True,4.51,4.53,thrice,7
2,22.84,56,True,True,3.54,0.27,twice,9
3,24.05,38,True,False,4.12,4.65,twice,6
9,12.63,58,True,False,6.74,2.16,thrice,7
3,13.6,35,True,True,9.26,3.47,thrice,6
5,9.6,59,True,False,3.59,0.21,four times,5
4,21.48,82,False,True,1.24,0.15,four times,8
1,19.46,89,False,True,5.97,1.79,four times,4
3,38.94,44,True,False,6.47,1.49,four times,4
2,18.44,27,False,True,8.19,0.81,four times,9
8,12.92,20,False,True,6.85,3.12,twice,5
4,30.78,74,False,False,3.82,2.95,thrice,8
6,24.85,85,True,True,1.23,3.38,four times,2
2,18.42,93,False,False,1.85,1.92,thrice,10
10,17.78,79,False,True,0.62,1.84,thrice,6
5,38.85,35,True,False,6.31,1.94,thrice,7
9,31.1,24,True,False,5.83,3.79,thrice,3
9,23.8,59,False,True,0.94,3.33,thrice,10
7,39.22,26,False,False,2.45,4.36,twice,9
4,13.2,61,False,False,5.85,1.01,thrice,8
5,12.23,57,False,False,9.65,2.59,thrice,2
1,23.69,41,False,True,8.41,1.46,four times,7
2,9.68,43,False,True,0.03,2.92,twice,3
8,12.14,58,False,False,7.4,0.52,thrice,6
10,28.07,21,False,False,0.23,0.69,thrice,9
9,9.61,44,False,False,9.71,4.09,twice,1
9,31.14,71,False,False,2.96,4.22,four times,10
8,18.77,70,True,True,0.38,0.31,four times,10
10,19.73,45,False,True,2.26,2.63,twice,1
1,18.78,55,False,True,9.47,3.45,four times,9
3,18.43,41,False,True,2.58,1.3,twice,5
2,20.14,81,False,False,3.62,0.8,four times,6
6,36.6,40,False,False,9.95,0.62,twice,10
6,29.54,54,False,True,1.41,1.79,thrice,6
8,16.65,39,False,True,5.51,1.43,thrice,2
1,27.2,38,False,True,0.9,3.66,twice,1
7,6.59,90,False,False,4.47,1.5,four times,10
7,19.58,99,True,True,8.32,3.53,four times,2
6,5.7,34,True,False,3.47,3.74,twice,5
10,31.66,47,False,True,1.36,4.9,thrice,1
2,34.52,45,False,True,2.94,1.1,thrice,2
5,29.38,37,True,True,4.17,0.05,thrice,6
4,9.69,59,True,True,5.55,0.74,four times,5
1,29.68,40,False,True,9.29,2.09,twice,5
9,33.3,84,False,True,2.44,0.49,four times,6
10,22.73,21,False,True,5.35,3.11,thrice,2
9,7.23,26,False,True,9.42,1.74,thrice,6
10,7.98,65,True,True,5.56,2.23,four times,8
3,21.94,54,False,True,1.32,4.34,thrice,4
4,27.43,62,False,False,4.24,0.0,twice,8
1,13.98,23,True,False,5.6,4.89,thrice,5
1,5.29,32,True,False,9.34,2.84,twice,4
5,37.04,75,False,True,9.77,3.47,thrice,8
9,22.1,67,True,True,2.54,3.68,twice,7
8,12.76,42,True,True,9.6,1.61,twice,10
3,25.71,32,False,True,7.64,1.81,four times,5
9,35.26,61,False,True,6.17,3.43,twice,1
6,15.84,29,False,False,6.46,0.71,thrice,8
10,38.91,50,True,False,5.77,0.01,thrice,6
3,17.54,68,True,False,8.75,2.53,four times,8
8,9.94,93,False,True,7.18,1.27,thrice,1
5,31.12,28,False,True,0.78,4.16,four times,9
7,13.25,72,False,False,0.78,0.92,thrice,6
8,9.12,40,False,False,9.14,1.47,twice,7
3,37.52,84,True,True,6.84,3.87,four times,7
8,32.07,41,True,True,3.79,4.52,thrice,8
7,30.73,73,True,False,9.4,2.27,four times,8
1,26.77,46,True,False,5.38,2.72,thrice,7
3,25.28,43,True,True,5.6,4.71,twice,4
4,29.48,75,False,False,9.93,4.02,twice,9
3,7.7,56,True,True,9.67,4.44,four times,8
10,34.23,92,False,True,5.68,3.79,thrice,8
2,27.23,43,True,False,0.03,1.0,four times,10
3,23.7,97,True,True,6.77,0.43,thrice,3
3,7.71,97,False,False,4.62,0.2,thrice,8
9,24.02,55,False,False,3.28,0.79,thrice,6
9,11.74,99,False,False,7.84,0.41,thrice,2
9,24.87,59,True,True,7.03,1.6,twice,9
6,5.15,68,True,True,5.11,1.57,thrice,4
3,18.63,24,True,False,8.15,0.8,twice,7
2,29.34,50,False,False,0.9,1.54,twice,3
4,21.34,44,True,True,3.09,2.26,twice,3
3,39.09,43,False,True,7.92,4.96,twice,5
10,15.76,44,True,True,8.49,1.3,twice,2
7,9.23,32,True,False,5.22,1.63,four times,10
1,23.35,47,False,True,9.03,0.6,thrice,3
2,7.2,47,False,True,9.28,1.36,thrice,10
2,26.8,81,True,False,8.18,3.6,thrice,7
8,10.56,77,False,False,3.09,1.03,thrice,10
7,5.8,83,False,False,8.28,4.42,thrice,6
8,39.54,53,False,True,9.27,0.19,thrice,5
9,18.01,55,True,False,8.91,2.14,twice,4
5,24.93,88,True,False,3.72,3.79,thrice,7
10,11.92,78,True,False,1.2,0.62,thrice,6
10,38.95,79,False,True,9.86,2.18,thrice,3
9,25.63,38,False,False,6.26,2.42,thrice,10
4,10.49,86,False,True,9.88,0.8,four times,1
10,12.78,48,False,False,4.65,3.95,thrice,1
7,13.35,57,True,True,3.28,1.37,twice,1
4,35.65,55,True,True,6.02,4.98,twice,7
10,14.27,93,True,True,8.99,4.16,four times,6
7,32.78,78,True,True,4.81,1.78,twice,1
6,28.41,46,False,False,3.35,3.56,thrice,9
8,28.21,82,False,False,2.55,1.96,twice,5
6,15.42,92,True,True,9.09,1.46,thrice,5
5,33.56,85,False,False,7.41,4.73,twice,1
7,5.91,70,False,True,8.52,0.56,four times,7
5,15.28,34,False,True,0.37,2.92,twice,8
2,22.45,93,True,True,0.39,1.77,four times,3
10,12.6,49,True,True,9.52,1.15,thrice,10
1,10.76,37,True,False,3.48,3.39,twice,10
6,26.0,50,False,False,2.07,3.04,thrice,5
7,28.23,40,True,False,5.47,3.19,thrice,4
2,17.59,30,True,True,7.05,2.32,thrice,4
4,15.31,61,True,False,1.42,2.85,four times,9
2,36.98,80,False,False,3.43,1.69,twice,10
1,11.4,31,True,True,8.76,4.31,twice,1
8,13.21,87,False,True,3.23,4.82,twice,5
9,10.96,69,True,True,4.18,3.85,thrice,8
3,24.66,85,False,False,8.75,0.87,twice,8
9,20.65,57,True,True,1.34,3.93,thrice,9
2,35.05,97,True,False,4.86,4.27,four times,7
7,25.45,54,True,False,2.85,1.56,twice,3
3,13.67,69,True,False,9.06,2.77,thrice,1
3,15.72,42,False,False,4.83,0.76,four times,5
1,5.92,28,True,True,5.8,3.4,four times,5
3,29.49,26,False,True,6.14,4.46,four times,3
5,10.67,37,False,False,6.07,0.7,twice,4
9,10.1,58,False,False,9.31,0.64,twice,6
3,16.77,53,True,True,5.55,0.01,thrice,3
5,8.03,40,True,True,2.4,1.99,twice,6
5,20.77,35,False,False,6.83,4.22,four times,1
2,15.06,28,False,False,2.07,3.78,thrice,2
9,35.04,24,False,False,7.17,0.38,four times,2
2,10.25,54,True,True,0.35,2.14,thrice,10
9,18.71,70,True,True,0.26,2.09,thrice,1
7,33.54,97,False,False,2.91,0.66,twice,1
5,38.45,77,True,False,0.44,3.56,twice,10
3,30.09,78,False,False,4.53,3.92,four times,5
7,16.85,54,False,True,5.23,3.67,twice,10
10,35.52,100,False,True,4.63,4.4,four times,6
9,7.41,68,False,True,0.02,1.33,thrice,1
6,20.75,79,True,True,3.19,0.77,twice,9
10,8.35,78,False,False,0.83,4.05,thrice,5
8,18.16,98,False,True,5.56,1.44,four times,10
9,7.29,28,True,False,3.64,1.85,four times,3
3,36.16,76,False,True,1.22,0.32,thrice,4
9,20.67,63,True,True,5.96,3.01,four times,5
1,20.97,54,False,False,8.43,0.99,thrice,8
10,9.88,75,True,True,1.71,1.09,thrice,8
10,9.74,41,False,True,7.58,1.35,twice,3
7,22.4,44,False,False,8.84,3.83,twice,2
7,39.83,64,False,False,7.05,0.69,four times,1
4,15.61,69,False,False,8.78,3.82,thrice,1
7,27.81,65,False,False,5.14,3.53,thrice,6
8,26.93,81,True,False,3.42,0.75,twice,7
2,35.46,65,True,False,4.47,3.96,four times,10
5,24.34,85,False,True,3.14,1.03,four times,2
3,20.03,96,True,False,4.17,3.35,twice,8
7,7.51,23,True,True,5.29,2.63,twice,7
6,15.62,99,False,True,1.61,0.23,four times,2
2,15.33,50,True,False,9.36,0.23,four times,5
8,12.38,52,False,False,4.55,3.42,thrice,7
4,11.63,80,True,False,6.13,0.07,thrice,6
4,29.45,42,False,False,9.65,2.0,twice,1
6,20.22,57,True,True,2.34,1.6,thrice,10
4,23.65,31,True,False,5.5,3.51,twice,7
8,7.66,80,True,False,8.37,0.35,thrice,5
4,27.8,43,True,True,9.73,4.65,four times,4
9,9.69,72,True,False,4.64,4.09,twice,6
4,17.5,73,True,True,0.13,3.94,four times,10
10,10.94,95,False,False,2.52,4.85,four times,2
5,30.97,34,True,False,0.25,2.67,four times,3
1,11.99,34,True,False,9.93,0.79,thrice,2
4,28.33,25,True,True,4.61,3.05,twice,3
4,19.86,70,False,True,3.37,0.35,twice,5
9,26.06,90,True,True,3.37,3.65,four times,5
8,30.79,98,True,True,5.61,4.65,thrice,1
4,35.33,100,True,False,8.97,0.68,four times,6
7,36.83,61,False,True,8.73,0.15,four times,10
2,7.98,97,True,False,3.74,0.33,four times,6
10,11.94,72,True,False,9.69,0.62,thrice,3
6,30.76,48,True,False,1.24,2.53,four times,5
2,14.15,89,True,False,3.82,0.91,four times,2
6,11.67,95,True,True,6.7,4.92,four times,4
